Date,Description,Amount,Currency,Type,Source,VAT,Base,Week,Month,Year
2024-10-19,Grab Rides-ec,-2.21,EUR,CARD_PAYMENT,Revolut,,,42,10,2024
2024-10-20,TRF.P/ CASA SOFTWARE SOLUCOES,-215.25,EUR,BANK_TRANSFER,Montepio,,,42,10,2024
2024-10-20,From JOAO PEDRO JESUS COSTA SANTOS,100.0,EUR,TRANSFER,Revolut,,,42,10,2024
2024-10-20,Grab Rides-ec,-2.21,EUR,CARD_PAYMENT,Revolut,,,42,10,2024
2024-10-21,Money added from WONDERBREEZE UNIPESSOAL LDA,1000.0,EUR,TOPUP,Revolut,,,43,10,2024
2024-10-21,Albino Macedo e Filhos Lda,-46.3,EUR,Outros,E-fatura,8.66,37.64,43,10,2024
2024-10-21,Grab Rides-ec,-2.65,EUR,CARD_PAYMENT,Revolut,,,43,10,2024
2024-10-21,Grab Rides-ec,-5.96,EUR,CARD_PAYMENT,Revolut,,,43,10,2024
2024-10-21,Grab Rides-ec,-0.56,EUR,CARD_PAYMENT,Revolut,,,43,10,2024
2024-10-22,Hotel At Booking.com,-45.43,EUR,CARD_PAYMENT,Revolut,,,43,10,2024
2024-10-22,Booking.com40593247292,-32.68,EUR,CARD_PAYMENT,Revolut,,,43,10,2024
2024-10-22,Grab Rides-ec,-2.21,EUR,CARD_PAYMENT,Revolut,,,43,10,2024
2024-10-24,"Fuelprime, Lda",-61.21,EUR,Outros,E-fatura,11.45,49.76,43,10,2024
2024-10-24,Main · EUR → Thai Baht · THB,-300.0,EUR,EXCHANGE,Revolut,,,43,10,2024
2024-10-24,Revolut Business fee,-10.0,EUR,FEE,Revolut,,,43,10,2024
2024-10-24,Grab Rides-ec,-1.98,EUR,CARD_PAYMENT,Revolut,,,43,10,2024
2024-10-24,Main · EUR → Thai Baht · THB,-100.0,EUR,EXCHANGE,Revolut,,,43,10,2024
2024-10-25,Grab Rides-ec,-1.99,EUR,CARD_PAYMENT,Revolut,,,43,10,2024
2024-10-25,Grab Rides-ec,-14.27,EUR,CARD_PAYMENT,Revolut,,,43,10,2024
2024-10-29,Arnaldo Leal & Jose Veiga Lda,-869.02,EUR,Manutenção e reparação de veículos automóveis,E-fatura,162.5,706.52,44,10,2024
2024-10-29,"Fuelprime, Lda",-69.2,EUR,Outros,E-fatura,12.94,56.26,44,10,2024
2024-10-30,Main · EUR → Thai Baht · THB,-500.0,EUR,EXCHANGE,Revolut,,,44,10,2024
2024-10-31,Caixa Economica Montepio Geral,-9.36,EUR,Other,E-fatura,0.0,9.0,44,10,2024
2024-11-01,Aiel,-110.7,EUR,Outros,E-fatura,20.7,90.0,44,11,2024
2024-11-02,Main · EUR → Thai Baht · THB,-87.53,EUR,EXCHANGE,Revolut,,,44,11,2024
2024-11-03,"Invoicexpress, Lda",-17.22,EUR,Outros,E-fatura,3.22,14.0,44,11,2024
2024-11-03,Restaurante Juvenal & Santos Lda,-38.0,EUR,"Alojamento, restauração e similares",E-fatura,4.37,33.63,44,11,2024
2024-11-03,Petrolmor Lda,-43.34,EUR,Outros,E-fatura,8.1,35.24,44,11,2024
2024-11-03,Restaurante Juvenal & Santos Lda,-72.75,EUR,"Alojamento, restauração e similares",E-fatura,9.09,63.66,44,11,2024
2024-11-04,From JOAO PEDRO JESUS COSTA SANTOS,150.0,EUR,TRANSFER,Revolut,,,45,11,2024
2024-11-04,TRF. JOÃO PEDRO JESUS COSTA SA,-729.8,EUR,BANK_TRANSFER,Montepio,,,45,11,2024
2024-11-04,TR-IPS-Mystic Protocol,11000.0,EUR,BANK_TRANSFER,Montepio,,,45,11,2024
2024-11-05,Hortelã Vaidosa Lda,-4.6,EUR,Other,E-fatura,0.53,4.07,45,11,2024
2024-11-05,TRF.P/ XE EUROPE BV,-928.16,EUR,BANK_TRANSFER,Montepio,,,45,11,2024
2024-11-06,TRF.P/ XE EUROPE BV,-403.02,EUR,BANK_TRANSFER,Montepio,,,45,11,2024
2024-11-06,TRF.P/ XE EUROPE BV,-605.21,EUR,BANK_TRANSFER,Montepio,,,45,11,2024
2024-11-06,TRF.P/ XE EUROPE BV,-1882.0,EUR,BANK_TRANSFER,Montepio,,,45,11,2024
2024-11-06,TRF.P/ XE EUROPE BV,-372.37,EUR,BANK_TRANSFER,Montepio,,,45,11,2024
2024-11-06,TRF.P/ XE EUROPE BV,-378.72,EUR,BANK_TRANSFER,Montepio,,,45,11,2024
2024-11-07,Canhao e Calado Lda,-44.51,EUR,"Alojamento, restauração e similares",E-fatura,2.52,41.99,45,11,2024
2024-11-07,Apple.com/pt,-99.0,EUR,CARD_PAYMENT,Revolut,,,45,11,2024
2024-11-07,Mina & Neesha Lda,-72.54,EUR,Other,E-fatura,8.77,63.77,45,11,2024
2024-11-08,I.S. COM. MAN. CTA PACOTE,-0.36,EUR,BANK_TRANSFER,Montepio,,,45,11,2024
2024-11-08,SOLUÇÃO E.MPREENDEDOR,-9.0,EUR,BANK_TRANSFER,Montepio,,,45,11,2024
2024-11-08,Money added from WONDERBREEZE UNIPESSOAL LDA,1500.0,EUR,TOPUP,Revolut,,,45,11,2024
2024-11-09,Flights On Booking.com,-230.88,EUR,CARD_PAYMENT,Revolut,,,45,11,2024
2024-11-10,Cash at Bangkok Bank,-142.47,EUR,ATM,Revolut,,,45,11,2024
2024-11-10,PAG. NET24 DUC 162612479502821,-4019.75,EUR,BANK_TRANSFER,Montepio,,,45,11,2024
2024-11-10,TRF. ASSOCIAÇÃO EMPREENDEDORIS,-110.7,EUR,BANK_TRANSFER,Montepio,,,45,11,2024
2024-11-10,Ikea Portugal Moveis e Decoração Lda,-236.99,EUR,Other,E-fatura,44.3,192.69,45,11,2024
2024-11-10,"Cursor, Ai Powered Ide",-18.68,EUR,CARD_PAYMENT,Revolut,,,45,11,2024
2024-11-10,PAGAMENTO TSU - TRANSFERÊNCIA,-284.95,EUR,BANK_TRANSFER,Montepio,,,45,11,2024
2024-11-10,Www.e-buy.com,-197.18,EUR,CARD_PAYMENT,Revolut,,,45,11,2024
2024-11-11,Bcm Bricolage S A,-52.58,EUR,Outros,E-fatura,7.88,44.7,46,11,2024
2024-11-11,Staples Portugal,-7.49,EUR,Other,E-fatura,1.4,6.09,46,11,2024
2024-11-12,"Cursor, Ai Powered Ide",-18.66,EUR,CARD_PAYMENT,Revolut,,,46,11,2024
2024-11-12,TR-LUIS MARCAL CORREIA DEYRIEU,61.5,EUR,BANK_TRANSFER,Montepio,,,46,11,2024
2024-11-13,Staples Portugal,-117.68,EUR,Other,E-fatura,22.01,95.67,46,11,2024
2024-11-13,"Fuelprime, Lda",-71.08,EUR,Outros,E-fatura,13.29,57.79,46,11,2024
2024-11-14,IMP SELO OE STP,-0.24,EUR,BANK_TRANSFER,Montepio,,,46,11,2024
2024-11-14,TRF.P/ BANK OF AMERICA EUROPE,-383.91,EUR,BANK_TRANSFER,Montepio,,,46,11,2024
2024-11-14,COM OE STP,-6.0,EUR,BANK_TRANSFER,Montepio,,,46,11,2024
2024-11-14,ORD.PAG. SEPA 0395312537653,-190.14,EUR,BANK_TRANSFER,Montepio,,,46,11,2024
2024-11-15,TR-ONESTAT LDA,369.0,EUR,BANK_TRANSFER,Montepio,,,46,11,2024
2024-11-16,Name-cheap.com* Neenn0,-18.9,EUR,CARD_PAYMENT,Revolut,,,46,11,2024
2024-11-18,Covelo & Pinto Lda,-405.26,EUR,Outros,E-fatura,75.78,329.48,47,11,2024
2024-11-19,Www.grab.com,-45.44,EUR,CARD_PAYMENT,Revolut,,,47,11,2024
2024-11-19,SP-10075206141 Via Verde DD,-2.95,EUR,BANK_TRANSFER,Montepio,,,47,11,2024
2024-11-20,SP-10075206141 Via Verde DD,-1.14,EUR,BANK_TRANSFER,Montepio,,,47,11,2024
2024-11-21,Refund from Www.e-buy.com,197.18,EUR,CARD_REFUND,Revolut,,,47,11,2024
2024-11-23,Bitcoin · BTC → Main · EUR,681.2,EUR,EXCHANGE,Revolut,,,47,11,2024
2024-11-23,Albino Macedo e Filhos Lda,-45.16,EUR,Outros,E-fatura,8.44,36.72,47,11,2024
2024-11-23,Main · EUR → Bitcoin · BTC,-347.7,EUR,EXCHANGE,Revolut,,,47,11,2024
2024-11-24,Fuelgest 24,-23.58,EUR,Other,E-fatura,4.41,19.17,47,11,2024
2024-11-24,Revolut Business fee,-10.0,EUR,FEE,Revolut,,,47,11,2024
2024-11-24,Cash at Centralfest Pattaya #1,-215.4,EUR,ATM,Revolut,,,47,11,2024
2024-11-24,Mugasa Restaurante Lda,-225.45,EUR,"Alojamento, restauração e similares",E-fatura,26.71,198.74,47,11,2024
2024-11-25,Lever Tax S L,-366.0,EUR,Outros,E-fatura,66.0,300.0,48,11,2024
2024-11-26,Openai,-14.32,EUR,CARD_PAYMENT,Revolut,,,48,11,2024
2024-11-26,SP-10075206141 Via Verde DD,-9.9,EUR,BANK_TRANSFER,Montepio,,,48,11,2024
2024-11-29,Facebk*,-2.0,EUR,CARD_PAYMENT,Revolut,,,48,11,2024
2024-11-30,Lusoponte Concessionaria Para Travessia do Tejo Sa,-2.1,EUR,Outros,E-fatura,0.12,1.98,48,11,2024
2024-11-30,Bcr,-0.85,EUR,Outros,E-fatura,0.16,0.69,48,11,2024
2024-11-30,Caixa Economica Montepio Geral,-15.6,EUR,Other,E-fatura,0.0,15.0,48,11,2024
2024-11-30,Via Verde Portugal,-1.14,EUR,Outros,E-fatura,0.21,0.93,48,11,2024
2024-12-01,Hong Kong Shimei Technolo,-34.95,EUR,CARD_PAYMENT,Revolut,,,48,12,2024
2024-12-01,Azimute Boemio- Lda,-60.3,EUR,Other,E-fatura,8.61,51.69,48,12,2024
2024-12-01,Cash at Amigo Men Clothing Store,-144.04,EUR,ATM,Revolut,,,48,12,2024
2024-12-02,TRF. MUTABLE POTENTIAL - LDA,409.59,EUR,BANK_TRANSFER,Montepio,,,49,12,2024
2024-12-02,TR-IPS-Mystic Protocol,5009.09,EUR,BANK_TRANSFER,Montepio,,,49,12,2024
2024-12-02,Facebk*,-4.78,EUR,CARD_PAYMENT,Revolut,,,49,12,2024
2024-12-03,TRF.P/ XE EUROPE BV,-350.0,EUR,BANK_TRANSFER,Montepio,,,49,12,2024
2024-12-03,TRF. JO√O PEDRO JESUS COSTA SA,-729.8,EUR,BANK_TRANSFER,Montepio,,,49,12,2024
2024-12-03,SP-10075206141 Via Verde DD,-2.95,EUR,BANK_TRANSFER,Montepio,,,49,12,2024
2024-12-03,TRF.P/ XE EUROPE BV,-748.0,EUR,BANK_TRANSFER,Montepio,,,49,12,2024
2024-12-03,TRF.P/ XE EUROPE BV,-607.0,EUR,BANK_TRANSFER,Montepio,,,49,12,2024
2024-12-03,TRF.P/ BANK OF AMERICA EUROPE,-1589.0,EUR,BANK_TRANSFER,Montepio,,,49,12,2024
2024-12-03,TRF.P/ XE EUROPE BV,-935.0,EUR,BANK_TRANSFER,Montepio,,,49,12,2024
2024-12-03,PAG. NET24 DUC 167524857895102,-35.15,EUR,BANK_TRANSFER,Montepio,,,49,12,2024
2024-12-03,Bold Root- Restauração Lda,-28.0,EUR,"Alojamento, restauração e similares",E-fatura,3.23,24.77,49,12,2024
2024-12-04,"Invoicexpress, Lda",-17.22,EUR,Outros,E-fatura,3.22,14.0,49,12,2024
2024-12-05,Name-cheap.com* Ofdpab,-3.01,EUR,CARD_PAYMENT,Revolut,,,49,12,2024
2024-12-05,Aiel,-110.7,EUR,Outros,E-fatura,20.7,90.0,49,12,2024
2024-12-05,Aiel,-110.7,EUR,Outros,E-fatura,20.7,90.0,49,12,2024
2024-12-06,Ban Nam Mao,-125.79,EUR,CARD_PAYMENT,Revolut,,,49,12,2024
2024-12-07,Hotel At Booking.com,-245.85,EUR,CARD_PAYMENT,Revolut,,,49,12,2024
2024-12-08,7-11 Pattaya Sai 2 S.1,-8.86,EUR,CARD_PAYMENT,Revolut,,,49,12,2024
2024-12-08,12go,-6.04,EUR,CARD_PAYMENT,Revolut,,,49,12,2024
2024-12-08,Xdt*bolt Support Servi,-3.57,EUR,CARD_PAYMENT,Revolut,,,49,12,2024
2024-12-08,On The Table - Mercury,-9.95,EUR,CARD_PAYMENT,Revolut,,,49,12,2024
2024-12-08,SOLU«√O E.MPREENDEDOR,-9.0,EUR,BANK_TRANSFER,Montepio,,,49,12,2024
2024-12-08,I.S. COM. MAN. CTA PACOTE,-0.36,EUR,BANK_TRANSFER,Montepio,,,49,12,2024
2024-12-08,Viber Place,-12.71,EUR,CARD_PAYMENT,Revolut,,,49,12,2024
2024-12-08,Xdt*bolt Support Servi,-3.43,EUR,CARD_PAYMENT,Revolut,,,49,12,2024
2024-12-09,"Invoicexpress, Lda",-915.12,EUR,Outros,E-fatura,171.12,744.0,50,12,2024
2024-12-09,081 Sct-siam Paragon M,-4.18,EUR,CARD_PAYMENT,Revolut,,,50,12,2024
2024-12-09,081 Sct-siam Paragon M,-6.27,EUR,CARD_PAYMENT,Revolut,,,50,12,2024
2024-12-09,7-11 Chidlom Store,-15.0,EUR,CARD_PAYMENT,Revolut,,,50,12,2024
2024-12-10,"Cursor, Ai Powered Ide",-18.94,EUR,CARD_PAYMENT,Revolut,,,50,12,2024
2024-12-10,Mcd-00291big C Rajdamr,-8.98,EUR,CARD_PAYMENT,Revolut,,,50,12,2024
2024-12-10,SP-10075206141 Via Verde DD,-7.1,EUR,BANK_TRANSFER,Montepio,,,50,12,2024
2024-12-10,Big C Supercenter-ratd,-11.65,EUR,CARD_PAYMENT,Revolut,,,50,12,2024
2024-12-11,360 Sct-gaysorn Tower,-4.19,EUR,CARD_PAYMENT,Revolut,,,50,12,2024
2024-12-11,Xdt*bolt Support Servi,-1.55,EUR,CARD_PAYMENT,Revolut,,,50,12,2024
2024-12-12,X Corp. Paid Features,-7.74,EUR,CARD_PAYMENT,Revolut,,,50,12,2024
2024-12-12,Www.grab.com,-6.51,EUR,CARD_PAYMENT,Revolut,,,50,12,2024
2024-12-12,Radisson Blu Plaza Ban,-4.97,EUR,CARD_PAYMENT,Revolut,,,50,12,2024
2024-12-12,Dohop,-8.62,EUR,CARD_PAYMENT,Revolut,,,50,12,2024
2024-12-12,Easyjetk8lbsmk,-86.11,EUR,CARD_PAYMENT,Revolut,,,50,12,2024
2024-12-12,Easyjetk8lbsmf,-57.67,EUR,CARD_PAYMENT,Revolut,,,50,12,2024
2024-12-13,X Corp. Paid Features,-7.72,EUR,CARD_PAYMENT,Revolut,,,50,12,2024
2024-12-13,Apple.com,-0.99,EUR,CARD_PAYMENT,Revolut,,,50,12,2024
2024-12-13,Apple.com,-39.99,EUR,CARD_PAYMENT,Revolut,,,50,12,2024
2024-12-13,Www.grab.com,-5.58,EUR,CARD_PAYMENT,Revolut,,,50,12,2024
2024-12-14,PAGAMENTO TSU - TRANSFER NCIA,-284.95,EUR,BANK_TRANSFER,Montepio,,,50,12,2024
2024-12-14,Western Union,-154.99,EUR,CARD_PAYMENT,Revolut,,,50,12,2024
2024-12-14,Money added from WONDERBREEZE UNIPESSOAL LDA,1000.0,EUR,TOPUP,Revolut,,,50,12,2024
2024-12-14,Xdt*bolt Support Servi,-0.71,EUR,CARD_PAYMENT,Revolut,,,50,12,2024
2024-12-14,Xdt*bolt Support Servi,-1.04,EUR,CARD_PAYMENT,Revolut,,,50,12,2024
2024-12-15,Bolt,-48.46,EUR,CARD_PAYMENT,Revolut,,,50,12,2024
2024-12-16,Www.grab.com,-5.18,EUR,CARD_PAYMENT,Revolut,,,51,12,2024
2024-12-16,Www.grab.com,-50.92,EUR,CARD_PAYMENT,Revolut,,,51,12,2024
2024-12-16,Cheap Shoe,-83.89,EUR,CARD_PAYMENT,Revolut,,,51,12,2024
2024-12-16,Xdt*bolt Support Servi,-1.68,EUR,CARD_PAYMENT,Revolut,,,51,12,2024
2024-12-17,SP-10075206141 Via Verde DD,-5.9,EUR,BANK_TRANSFER,Montepio,,,51,12,2024
2024-12-17,Shang Hai Xiang Xue Ha,-16.88,EUR,CARD_PAYMENT,Revolut,,,51,12,2024
2024-12-17,Ums*yuzhilan,-14.13,EUR,CARD_PAYMENT,Revolut,,,51,12,2024
2024-12-17,P And S Thailand,-28.82,EUR,CARD_PAYMENT,Revolut,,,51,12,2024
2024-12-17,Www.grab.com,-6.86,EUR,CARD_PAYMENT,Revolut,,,51,12,2024
2024-12-17,Www.grab.com,-5.77,EUR,CARD_PAYMENT,Revolut,,,51,12,2024
2024-12-17,Xdt*bolt Support Servi,-1.63,EUR,CARD_PAYMENT,Revolut,,,51,12,2024
2024-12-17,Www.grab.com,-14.07,EUR,CARD_PAYMENT,Revolut,,,51,12,2024
2024-12-18,Pure Beak,-12.78,EUR,CARD_PAYMENT,Revolut,,,51,12,2024
2024-12-18,"Fast Rest Seixal A2,",-9.5,EUR,CARD_PAYMENT,Revolut,,,51,12,2024
2024-12-18,Relay Virgin Lisboa,-4.8,EUR,CARD_PAYMENT,Revolut,,,51,12,2024
2024-12-18,SP-10075206141 Via Verde DD,-1.14,EUR,BANK_TRANSFER,Montepio,,,51,12,2024
2024-12-19,COMPRA   BP DUARTE PACHECO,-4.8,EUR,BANK_TRANSFER,Montepio,,,51,12,2024
2024-12-19,Fatima Barros Unipessoal Lda,-25.0,EUR,"Alojamento, restauração e similares",E-fatura,2.88,22.12,51,12,2024
2024-12-19,Easyjet I,-7.87,EUR,CARD_PAYMENT,Revolut,,,51,12,2024
2024-12-19,Google*gsuite Bitnata.,-12.42,EUR,CARD_PAYMENT,Revolut,,,51,12,2024
2024-12-19,Easyjet,-58.0,EUR,CARD_PAYMENT,Revolut,,,51,12,2024
2024-12-19,COMPRA   REST A RODA,-12.5,EUR,BANK_TRANSFER,Montepio,,,51,12,2024
2024-12-19,Easyjet I,-3.5,EUR,CARD_PAYMENT,Revolut,,,51,12,2024
2024-12-20,"Fuelprime, Lda",-38.11,EUR,Outros,E-fatura,7.13,30.98,51,12,2024
2024-12-20,Bolt.eu,-4.58,EUR,CARD_PAYMENT,Revolut,,,51,12,2024
2024-12-21,Bolt.eu,-3.85,EUR,CARD_PAYMENT,Revolut,,,51,12,2024
2024-12-21,Bolt.eu,-4.25,EUR,CARD_PAYMENT,Revolut,,,51,12,2024
2024-12-21,Bolt.eu,-3.85,EUR,CARD_PAYMENT,Revolut,,,51,12,2024
2024-12-21,Bolt.eu,-4.25,EUR,CARD_PAYMENT,Revolut,,,51,12,2024
2024-12-21,TRF.IPS P/ CLOUDVISOR UAB,-308.49,EUR,BANK_TRANSFER,Montepio,,,51,12,2024
2024-12-22,Juan Carlos Parente Paradela,-15.0,EUR,"Alojamento, restauração e similares",E-fatura,1.73,13.27,51,12,2024
2024-12-23,COMPRA   Metropolitano de Lis,-1.8,EUR,BANK_TRANSFER,Montepio,,,52,12,2024
2024-12-24,João Augusto Matos Lourinho,-21.17,EUR,Other,E-fatura,2.44,18.73,52,12,2024
2024-12-24,Taxa da Revolut Business,-10.0,EUR,FEE,Revolut,,,52,12,2024
2024-12-26,"Cursor, Ai Powered Ide",-19.27,EUR,CARD_PAYMENT,Revolut,,,52,12,2024
2024-12-26,Spdad Soc Portuguesa de Distribuição de Artigos de Desporto Unipessoal Lda,-24.7,EUR,Other,E-fatura,4.62,20.08,52,12,2024
2024-12-30,TRF. ASSOCIAÇÃO EMPREENDEDORIS,-110.7,EUR,BANK_TRANSFER,Montepio,,,1,12,2024
2024-12-30,TRF. JOÃO PEDRO JESUS COSTA SA,-729.8,EUR,BANK_TRANSFER,Montepio,,,1,12,2024
2024-12-31,Lusoponte Concessionaria Para Travessia do Tejo Sa,-14.7,EUR,Outros,E-fatura,0.83,13.87,1,12,2024
2024-12-31,Bcr,-5.95,EUR,Outros,E-fatura,1.11,4.84,1,12,2024
2024-12-31,Via Verde Portugal,-1.14,EUR,Outros,E-fatura,0.21,0.93,1,12,2024
2024-12-31,SP-10075206141 Via Verde DD,-11.85,EUR,BANK_TRANSFER,Montepio,,,1,12,2024
